0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
0.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,5.000000000000000000e+00,3.000000000000000000e+00
4.000000000000000000e+00,1.100000000000000000e+01,1.300000000000000000e+01
1.600000000000000000e+01,1.000000000000000000e+01,2.500000000000000000e+01
2.800000000000000000e+01,2.200000000000000000e+01,1.900000000000000000e+01
5.400000000000000000e+01,4.200000000000000000e+01,4.600000000000000000e+01
9.100000000000000000e+01,1.040000000000000000e+02,7.100000000000000000e+01
1.050000000000000000e+02,1.020000000000000000e+02,1.020000000000000000e+02
1.830000000000000000e+02,1.900000000000000000e+02,1.630000000000000000e+02
1.470000000000000000e+02,1.900000000000000000e+02,1.720000000000000000e+02
1.740000000000000000e+02,1.790000000000000000e+02,2.080000000000000000e+02
2.150000000000000000e+02,2.240000000000000000e+02,2.600000000000000000e+02
2.300000000000000000e+02,3.960000000000000000e+02,2.890000000000000000e+02
2.510000000000000000e+02,2.540000000000000000e+02,2.500000000000000000e+02
